[2015-11-16-10-15-10],B_FlowEquip,hid=1000100000000111,gid=0,equipId=1000100000000606,sysId=90150402,type=1,bind=0,state=1,isadd=1,reason=501,zoneid=1,operateTime=1447640110
[2015-11-16-15-03-47],B_FlowEquip,hid=1000100000000115,gid=51000034,equipId=1000100000000607,sysId=90112201,type=1,bind=1,state=3,isadd=1,reason=501,zoneid=1,operateTime=1447657427
[2015-11-16-15-03-47],B_FlowEquip,hid=1000100000000115,gid=51000034,equipId=1000100000000608,sysId=90110202,type=1,bind=1,state=3,isadd=1,reason=501,zoneid=1,operateTime=1447657427
[2015-11-16-15-03-47],B_FlowEquip,hid=1000100000000115,gid=51000034,equipId=1000100000000609,sysId=90110203,type=1,bind=1,state=3,isadd=1,reason=501,zoneid=1,operateTime=1447657427
[2015-11-16-15-03-47],B_FlowEquip,hid=1000100000000115,gid=51000034,equipId=1000100000000610,sysId=90110204,type=1,bind=1,state=3,isadd=1,reason=501,zoneid=1,operateTime=1447657427
[2015-11-16-15-03-47],B_FlowEquip,hid=1000100000000115,gid=51000034,equipId=1000100000000611,sysId=90110205,type=1,bind=1,state=3,isadd=1,reason=501,zoneid=1,operateTime=1447657427
[2015-11-16-15-03-47],B_FlowEquip,hid=1000100000000115,gid=51000034,equipId=1000100000000612,sysId=90110206,type=1,bind=1,state=3,isadd=1,reason=501,zoneid=1,operateTime=1447657427
[2015-11-16-15-03-47],B_FlowEquip,hid=1000100000000115,gid=51000034,equipId=1000100000000613,sysId=90110207,type=1,bind=1,state=3,isadd=1,reason=501,zoneid=1,operateTime=1447657427
[2015-11-16-15-03-47],B_FlowEquip,hid=1000100000000115,gid=51000034,equipId=1000100000000614,sysId=90110208,type=1,bind=1,state=3,isadd=1,reason=501,zoneid=1,operateTime=1447657427
[2015-11-16-15-03-47],B_FlowEquip,hid=1000100000000115,gid=51000034,equipId=1000100000000615,sysId=90110209,type=1,bind=1,state=3,isadd=1,reason=501,zoneid=1,operateTime=1447657427
[2015-11-16-15-03-47],B_FlowEquip,hid=1000100000000115,gid=51000034,equipId=1000100000000616,sysId=90110210,type=1,bind=1,state=3,isadd=1,reason=501,zoneid=1,operateTime=1447657427
[2015-11-16-15-03-49],B_FlowEquip,hid=1000100000000115,gid=51000035,equipId=1000100000000617,sysId=90112201,type=1,bind=1,state=3,isadd=1,reason=501,zoneid=1,operateTime=1447657429
[2015-11-16-15-03-49],B_FlowEquip,hid=1000100000000115,gid=51000035,equipId=1000100000000618,sysId=90110202,type=1,bind=1,state=3,isadd=1,reason=501,zoneid=1,operateTime=1447657429
[2015-11-16-15-03-49],B_FlowEquip,hid=1000100000000115,gid=51000035,equipId=1000100000000619,sysId=90110203,type=1,bind=1,state=3,isadd=1,reason=501,zoneid=1,operateTime=1447657429
[2015-11-16-15-03-49],B_FlowEquip,hid=1000100000000115,gid=51000035,equipId=1000100000000620,sysId=90110204,type=1,bind=1,state=3,isadd=1,reason=501,zoneid=1,operateTime=1447657429
[2015-11-16-15-03-49],B_FlowEquip,hid=1000100000000115,gid=51000035,equipId=1000100000000621,sysId=90110205,type=1,bind=1,state=3,isadd=1,reason=501,zoneid=1,operateTime=1447657429
[2015-11-16-15-03-49],B_FlowEquip,hid=1000100000000115,gid=51000035,equipId=1000100000000622,sysId=90110206,type=1,bind=1,state=3,isadd=1,reason=501,zoneid=1,operateTime=1447657429
[2015-11-16-15-03-49],B_FlowEquip,hid=1000100000000115,gid=51000035,equipId=1000100000000623,sysId=90110207,type=1,bind=1,state=3,isadd=1,reason=501,zoneid=1,operateTime=1447657429
[2015-11-16-15-03-49],B_FlowEquip,hid=1000100000000115,gid=51000035,equipId=1000100000000624,sysId=90110208,type=1,bind=1,state=3,isadd=1,reason=501,zoneid=1,operateTime=1447657429
[2015-11-16-15-03-50],B_FlowEquip,hid=1000100000000115,gid=51000035,equipId=1000100000000625,sysId=90110209,type=1,bind=1,state=3,isadd=1,reason=501,zoneid=1,operateTime=1447657430
[2015-11-16-15-03-50],B_FlowEquip,hid=1000100000000115,gid=51000035,equipId=1000100000000626,sysId=90110210,type=1,bind=1,state=3,isadd=1,reason=501,zoneid=1,operateTime=1447657430
[2015-11-16-15-03-51],B_FlowEquip,hid=1000100000000115,gid=51000036,equipId=1000100000000627,sysId=90112201,type=1,bind=1,state=3,isadd=1,reason=501,zoneid=1,operateTime=1447657431
[2015-11-16-15-03-51],B_FlowEquip,hid=1000100000000115,gid=51000036,equipId=1000100000000628,sysId=90110202,type=1,bind=1,state=3,isadd=1,reason=501,zoneid=1,operateTime=1447657431
[2015-11-16-15-03-51],B_FlowEquip,hid=1000100000000115,gid=51000036,equipId=1000100000000629,sysId=90110203,type=1,bind=1,state=3,isadd=1,reason=501,zoneid=1,operateTime=1447657431
[2015-11-16-15-03-51],B_FlowEquip,hid=1000100000000115,gid=51000036,equipId=1000100000000630,sysId=90110204,type=1,bind=1,state=3,isadd=1,reason=501,zoneid=1,operateTime=1447657431
[2015-11-16-15-03-51],B_FlowEquip,hid=1000100000000115,gid=51000036,equipId=1000100000000631,sysId=90110205,type=1,bind=1,state=3,isadd=1,reason=501,zoneid=1,operateTime=1447657431
[2015-11-16-15-03-51],B_FlowEquip,hid=1000100000000115,gid=51000036,equipId=1000100000000632,sysId=90110206,type=1,bind=1,state=3,isadd=1,reason=501,zoneid=1,operateTime=1447657431
[2015-11-16-15-03-51],B_FlowEquip,hid=1000100000000115,gid=51000036,equipId=1000100000000633,sysId=90110207,type=1,bind=1,state=3,isadd=1,reason=501,zoneid=1,operateTime=1447657431
[2015-11-16-15-03-51],B_FlowEquip,hid=1000100000000115,gid=51000036,equipId=1000100000000634,sysId=90110208,type=1,bind=1,state=3,isadd=1,reason=501,zoneid=1,operateTime=1447657431
[2015-11-16-15-03-52],B_FlowEquip,hid=1000100000000115,gid=51000036,equipId=1000100000000635,sysId=90110209,type=1,bind=1,state=3,isadd=1,reason=501,zoneid=1,operateTime=1447657432
[2015-11-16-15-03-52],B_FlowEquip,hid=1000100000000115,gid=51000036,equipId=1000100000000636,sysId=90110210,type=1,bind=1,state=3,isadd=1,reason=501,zoneid=1,operateTime=1447657432
[2015-11-16-15-03-53],B_FlowEquip,hid=1000100000000115,gid=51000037,equipId=1000100000000637,sysId=90112201,type=1,bind=1,state=3,isadd=1,reason=501,zoneid=1,operateTime=1447657433
[2015-11-16-15-03-54],B_FlowEquip,hid=1000100000000115,gid=51000037,equipId=1000100000000638,sysId=90110202,type=1,bind=1,state=3,isadd=1,reason=501,zoneid=1,operateTime=1447657434
