2020-10-20 12:10:55.712 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:30010002 has not npcid:200001
2020-10-20 12:10:55.713 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:30010002 has not npcid:750024
2020-10-20 12:10:55.713 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:30010002 has not npcid:750025
2020-10-20 12:10:55.713 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:30010002 has not npcid:750026
2020-10-20 12:10:55.713 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:30010002 has not npcid:750027
2020-10-20 12:10:55.713 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:30010002 has not npcid:750028
2020-10-20 12:10:55.713 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:30010002 has not npcid:750029
2020-10-20 12:10:55.713 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:30010002 has not npcid:750030
2020-10-20 12:10:55.713 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:30010002 has not npcid:750031
2020-10-20 12:10:55.714 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:30010002 has not npcid:750032
2020-10-20 12:10:55.714 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:30010002 has not npcid:750033
2020-10-20 12:10:55.714 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:30010002 has not npcid:750034
2020-10-20 12:10:55.714 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:30010002 has not npcid:750035
2020-10-20 12:10:55.785 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500001 has not npcid:350004
2020-10-20 12:10:55.785 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500001 has not npcid:350005
2020-10-20 12:10:55.785 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500001 has not npcid:350006
2020-10-20 12:10:55.785 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500001 has not npcid:350101
2020-10-20 12:10:55.785 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500001 has not npcid:350102
2020-10-20 12:10:55.785 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500001 has not npcid:350301
2020-10-20 12:10:55.793 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500003 has not npcid:350004
2020-10-20 12:10:55.794 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500003 has not npcid:350005
2020-10-20 12:10:55.794 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500003 has not npcid:350006
2020-10-20 12:10:55.794 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500003 has not npcid:350101
2020-10-20 12:10:55.794 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500003 has not npcid:350102
2020-10-20 12:10:55.794 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500003 has not npcid:350106
2020-10-20 12:10:55.794 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500003 has not npcid:350104
2020-10-20 12:10:55.794 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500003 has not npcid:350301
2020-10-20 12:10:55.810 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500005 has not npcid:350004
2020-10-20 12:10:55.810 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500005 has not npcid:350005
2020-10-20 12:10:55.810 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500005 has not npcid:350006
2020-10-20 12:10:55.810 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500005 has not npcid:350101
2020-10-20 12:10:55.811 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500005 has not npcid:350102
2020-10-20 12:10:55.811 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500005 has not npcid:350104
2020-10-20 12:10:55.811 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500005 has not npcid:350106
2020-10-20 12:10:55.811 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500005 has not npcid:350301
2020-10-20 12:10:55.811 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500005 has not npcid:350108
2020-10-20 12:10:55.811 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500005 has not npcid:350103
2020-10-20 12:10:55.839 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500007 has not npcid:350004
2020-10-20 12:10:55.839 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500007 has not npcid:350005
2020-10-20 12:10:55.839 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500007 has not npcid:350006
2020-10-20 12:10:55.839 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500007 has not npcid:350101
2020-10-20 12:10:55.839 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500007 has not npcid:350102
2020-10-20 12:10:55.839 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500007 has not npcid:350103
2020-10-20 12:10:55.839 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500007 has not npcid:350104
2020-10-20 12:10:55.839 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500007 has not npcid:350106
2020-10-20 12:10:55.839 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500007 has not npcid:350301
2020-10-20 12:10:55.839 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500007 has not npcid:350107
2020-10-20 12:10:55.840 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500007 has not npcid:350108
2020-10-20 12:11:01.534 [crossChannelEx - 2] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-20 12:11:01.534 [crossChannelEx - 3] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-20 12:11:01.560 [crossChannelEx - 3] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-20 12:11:01.560 [crossChannelEx - 2] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-20 12:11:01.563 [crossChannelEx - 3] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-20 12:11:01.563 [crossChannelEx - 2] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-20 12:11:01.580 [OpTaskExecutorService-thread-9] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-20 12:11:01.580 [OpTaskExecutorService-thread-9] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-20 12:11:01.592 [crossChannelEx - 2] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-20 12:11:01.595 [crossChannelEx - 3] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-20 12:11:01.599 [crossChannelEx - 3] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-20 12:11:01.599 [crossChannelEx - 2] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-20 12:11:01.601 [crossChannelEx - 3] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-20 12:11:01.601 [crossChannelEx - 2] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-20 12:11:02.093 [crossChannelEx - 3] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-20 12:11:02.096 [crossChannelEx - 2] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-20 12:11:02.127 [crossChannelEx - 3] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-20 12:11:02.127 [crossChannelEx - 2] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-20 12:11:02.132 [OpTaskExecutorService-thread-9] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-20 12:11:02.132 [OpTaskExecutorService-thread-9] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-20 12:11:02.191 [crossChannelEx - 3] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-20 12:11:02.191 [crossChannelEx - 2] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-20 12:11:02.835 [crossChannelEx - 2] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-20 12:11:02.837 [crossChannelEx - 2] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-20 12:11:02.838 [crossChannelEx - 2] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-20 12:11:02.843 [OpTaskExecutorService-thread-9] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-20 12:11:02.854 [crossChannelEx - 3] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-20 12:11:02.855 [crossChannelEx - 3] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-20 12:11:02.856 [OpTaskExecutorService-thread-9] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-20 12:11:02.856 [crossChannelEx - 3] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-20 12:11:03.086 [crossChannelEx - 2] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-20 12:11:03.087 [crossChannelEx - 2] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-20 12:11:03.087 [crossChannelEx - 2] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-20 12:11:03.087 [crossChannelEx - 2] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-20 12:11:03.087 [crossChannelEx - 2] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-20 12:11:03.087 [crossChannelEx - 2] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-20 12:11:03.088 [OpTaskExecutorService-thread-9] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-20 12:11:03.124 [crossChannelEx - 3] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-20 12:11:03.125 [crossChannelEx - 3] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-20 12:11:03.125 [crossChannelEx - 3] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-20 12:11:03.126 [crossChannelEx - 3] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-20 12:11:03.126 [crossChannelEx - 3] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-20 12:11:03.126 [crossChannelEx - 3] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-20 12:11:03.126 [OpTaskExecutorService-thread-9] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-20 12:11:03.306 [crossChannelEx - 2] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-20 12:11:03.306 [crossChannelEx - 2] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
