2020-10-23 17:15:52.474 [Thread-7] WARN  com.teamtop.system.zcBoss.ZcBossHeroManager - JoinersMap().containsKey(hero.getId()) hid:1000100000000078
2020-10-23 17:56:07.408 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:30010002 has not npcid:200001
2020-10-23 17:56:07.408 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:30010002 has not npcid:750024
2020-10-23 17:56:07.408 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:30010002 has not npcid:750025
2020-10-23 17:56:07.408 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:30010002 has not npcid:750026
2020-10-23 17:56:07.408 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:30010002 has not npcid:750027
2020-10-23 17:56:07.408 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:30010002 has not npcid:750028
2020-10-23 17:56:07.408 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:30010002 has not npcid:750029
2020-10-23 17:56:07.408 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:30010002 has not npcid:750030
2020-10-23 17:56:07.408 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:30010002 has not npcid:750031
2020-10-23 17:56:07.408 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:30010002 has not npcid:750032
2020-10-23 17:56:07.408 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:30010002 has not npcid:750033
2020-10-23 17:56:07.408 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:30010002 has not npcid:750034
2020-10-23 17:56:07.408 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:30010002 has not npcid:750035
2020-10-23 17:56:07.486 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500001 has not npcid:350004
2020-10-23 17:56:07.486 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500001 has not npcid:350005
2020-10-23 17:56:07.486 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500001 has not npcid:350006
2020-10-23 17:56:07.486 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500001 has not npcid:350101
2020-10-23 17:56:07.486 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500001 has not npcid:350102
2020-10-23 17:56:07.486 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500001 has not npcid:350301
2020-10-23 17:56:07.502 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500003 has not npcid:350004
2020-10-23 17:56:07.502 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500003 has not npcid:350005
2020-10-23 17:56:07.502 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500003 has not npcid:350006
2020-10-23 17:56:07.502 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500003 has not npcid:350101
2020-10-23 17:56:07.502 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500003 has not npcid:350102
2020-10-23 17:56:07.502 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500003 has not npcid:350106
2020-10-23 17:56:07.502 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500003 has not npcid:350104
2020-10-23 17:56:07.502 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500003 has not npcid:350301
2020-10-23 17:56:07.549 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500005 has not npcid:350004
2020-10-23 17:56:07.549 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500005 has not npcid:350005
2020-10-23 17:56:07.549 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500005 has not npcid:350006
2020-10-23 17:56:07.549 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500005 has not npcid:350101
2020-10-23 17:56:07.549 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500005 has not npcid:350102
2020-10-23 17:56:07.549 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500005 has not npcid:350104
2020-10-23 17:56:07.549 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500005 has not npcid:350106
2020-10-23 17:56:07.549 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500005 has not npcid:350301
2020-10-23 17:56:07.549 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500005 has not npcid:350108
2020-10-23 17:56:07.549 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500005 has not npcid:350103
2020-10-23 17:56:07.580 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500007 has not npcid:350004
2020-10-23 17:56:07.580 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500007 has not npcid:350005
2020-10-23 17:56:07.580 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500007 has not npcid:350006
2020-10-23 17:56:07.580 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500007 has not npcid:350101
2020-10-23 17:56:07.580 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500007 has not npcid:350102
2020-10-23 17:56:07.580 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500007 has not npcid:350103
2020-10-23 17:56:07.580 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500007 has not npcid:350104
2020-10-23 17:56:07.580 [main] WARN  com.teamtop.system.scene.SceneCache - sceneid:500007 has not npcid:350106
