2020-10-27 16:13:47.780 [OpTaskExecutorService-thread-0] WARN  com.teamtop.system.scene.SceneFunction - hid: 1000100000000005name 世家丿非宸.S1exitScene get sceneEvent is null,sceneSysId:0
2020-10-27 16:13:47.795 [OpTaskExecutorService-thread-0] WARN  com.teamtop.system.scene.SceneFunction - hid: 1000100000000005name 世家丿非宸.S1exitScene get sceneEvent is null,sceneSysId:0
2020-10-27 16:13:47.795 [nioEventLoopGroup-9-5] WARN  com.teamtop.cross.CrossFunction - Cross logout hero is null.hid:1000100000000005 name:世家丿非宸
2020-10-27 16:56:08.034 [OpTaskExecutorService-thread-9] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-27 16:56:16.721 [OpTaskExecutorService-thread-9] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-27 16:56:22.985 [OpTaskExecutorService-thread-0] WARN  com.teamtop.system.firstRechargeNew.FirstRechargeNewFunction - FirstRechargeNewFunction firstRecharge hid=1000100000000005, pid=110
2020-10-27 16:56:22.985 [OpTaskExecutorService-thread-9] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-27 16:56:23.351 [OpTaskExecutorService-thread-0] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-27 16:56:23.467 [OpTaskExecutorService-thread-0] WARN  com.teamtop.system.event.useAddEvent.UseAddUtil - GameConst.huobiMap can not find3,type:28
2020-10-27 16:56:23.468 [OpTaskExecutorService-thread-0] WARN  com.teamtop.system.firstRechargeNew.FirstRechargeNewFunction - FirstRechargeNewFunction firstRecharge hid=1000100000000005, pid=110
2020-10-27 16:56:23.470 [OpTaskExecutorService-thread-9] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-27 16:56:23.474 [OpTaskExecutorService-thread-0] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-27 16:56:23.476 [OpTaskExecutorService-thread-0] WARN  com.teamtop.system.event.useAddEvent.UseAddUtil - GameConst.huobiMap can not find3,type:28
2020-10-27 16:56:23.477 [OpTaskExecutorService-thread-0] WARN  com.teamtop.system.firstRechargeNew.FirstRechargeNewFunction - FirstRechargeNewFunction firstRecharge hid=1000100000000005, pid=110
2020-10-27 16:56:23.480 [OpTaskExecutorService-thread-9] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-27 16:56:23.481 [OpTaskExecutorService-thread-0] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-27 16:56:23.485 [OpTaskExecutorService-thread-0] WARN  com.teamtop.system.event.useAddEvent.UseAddUtil - GameConst.huobiMap can not find3,type:28
2020-10-27 16:56:23.490 [OpTaskExecutorService-thread-0] WARN  com.teamtop.system.firstRechargeNew.FirstRechargeNewFunction - FirstRechargeNewFunction firstRecharge hid=1000100000000005, pid=110
2020-10-27 16:56:23.491 [OpTaskExecutorService-thread-9] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-27 16:56:23.496 [OpTaskExecutorService-thread-0] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-10-27 16:56:23.497 [OpTaskExecutorService-thread-0] WARN  com.teamtop.system.event.useAddEvent.UseAddUtil - GameConst.huobiMap can not find3,type:28
