2020-11-01 21:16:09.512 [crossChannelEx - 3] WARN  com.teamtop.system.crossKing.local.CrossKingLocalFunction - 最强王者：活动开启
2020-11-01 21:17:07.371 [任务线程 - 14] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-11-01 21:17:07.386 [任务线程 - 14] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-11-01 21:17:07.386 [任务线程 - 14] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-11-01 21:17:07.386 [OpTaskExecutorService-thread-9] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-11-01 21:17:07.386 [任务线程 - 14] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-11-01 21:17:07.542 [任务线程 - 14] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-11-01 21:17:07.542 [任务线程 - 14] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-11-01 21:17:07.542 [任务线程 - 14] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-11-01 21:17:07.542 [任务线程 - 14] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-11-01 21:17:07.542 [OpTaskExecutorService-thread-9] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-11-01 21:17:07.729 [任务线程 - 14] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-11-01 21:17:07.729 [任务线程 - 14] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-11-01 21:17:07.729 [任务线程 - 14] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-11-01 21:17:07.729 [任务线程 - 14] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
2020-11-01 21:17:07.729 [任务线程 - 14] WARN  com.teamtop.system.hero.FightCalcFunction - hero set fight attribute value fail cause of attributes array is null!
